latitude,longitude
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.3718456,103.8415255
1.3196351,103.8679747
1.3089436,103.7774362
1.4167996,103.8339538
1.4529896,103.8219169
1.3333261,103.9080054
1.4400123,103.775723
1.2774596,103.8423478
1.287371,103.809224
1.3729407,103.8375337
1.337841,103.857871
1.4163809,103.833273
1.3708532,103.8986579
1.3171808,103.9008721
1.3904919,103.7464894
1.3358302,103.9394096
1.4167162,103.8340225
1.3351804,103.8445081
1.318003,103.861592
1.320917,103.7648521
1.3765093,103.7709524
1.3816631,103.7444481
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.359667,103.752228
1.3373848,103.9065029
1.3251965,103.9262994
1.3000717,103.7770343
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.2773848,103.8409469
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
1.3765093,103.7709524
1.3816631,103.7444481
1.2774596,103.8423478
1.3977388,103.7440367
1.4010215,103.7495644
1.342534,103.7949614
1.3742455,103.8924865
1.2852507,103.8237152
1.3904919,103.7464894
1.376696,103.753675
1.3222351,103.9035111
1.3574459,103.7479703
1.3036825,103.7617114
1.4163809,103.833273
1.337841,103.857871
1.359667,103.752228
1.3373848,103.9065029
1.3171808,103.9008721
1.3251965,103.9262994
1.3000717,103.7770343
1.3333261,103.9080054
1.3729407,103.8375337
1.3007187,103.7757688
1.277898,103.840963
1.3865047,103.7626438
1.3219926,103.8612945
1.3358302,103.9394096
1.3351804,103.8445081
1.2773848,103.8409469
1.2979036,103.7867787
1.3708532,103.8986579
1.3925022,103.8895073
1.4529896,103.8219169
1.4167996,103.8339538
1.3089436,103.7774362
1.320917,103.7648521
1.3718456,103.8415255
1.4167162,103.8340225
1.3196351,103.8679747
1.4400123,103.775723
